business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
MK AESTHETICS,MN,Minneapolis,https://mkaesthetics.com/,hello@mkaesthetics.com,hello@mkaesthetics.com,(612) 500-6367,,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, nad+, peptide, peptides, semaglutide, sermorelin, tb-500, tesamorelin, tirzepatide",13,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
One Agora Integrative Health Clinic,MN,Minneapolis,https://oneagorahealth.com/,info@oneagorahealth.com,info@oneagorahealth.com; sales@zoskinhealth.com,(952) 234-5898; (952) 681-2280,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
OptiMantra,MN,Minneapolis,https://optimantra.com/,sales@optimantra.com,sales@optimantra.com; portalsupport@optimantra.com; support@cer.bo; support@optimantra.freshdesk.com; support@optimantra.zendesk.com; support@optimantrainc.zendesk.com,,,peptide,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Refine wellness clinic,MN,,,tjfoster021@gmail.com,tjfoster021@gmail.com,6515034952,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Teal Foster; states served: Minnesota
The Medical and Wellness Clinic,MN,,,mary@privatepracticenp,mary@privatepracticenp,5075172752,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Mary Nicklay; states served: Minnesota - Iowa  - CO - AZ - NY
Twin Cities IV,MN,Minneapolis,https://twincitiesiv.com/,support@schedulista.com,support@schedulista.com; contact@ivnurses.org,(313) 241-4020; (612) 492-1967; (800) 760-7609,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Aestheticaskin Health and Wellness Center,MN,Minneapolis,https://aestheticaskinhealthandwellness.com/,,,(612) 236-7034; (952) 426-3028,,"glp-1, peptide, retatrutide, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Harrington Plastic Surgery & MedSpa,MN,Minneapolis,https://harringtonplasticsurgery.com/,,,(651) 290-7600; (651) 413-9162,,glp-1,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
HyperCharge Health,MN,Minneapolis,https://hyperchargehealth.com/,,,(388) 245-7050; (550) 059-4219; (952) 247-4785,,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, epitalon, ghk-cu, glp-1, ipamorelin, mots-c, nad+, peptide, peptides, pt-141, selank, semaglutide, semax, ss-31, tb-500, tesamorelin, tesofensine, thymosin, tirzepatide",22,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
SpaVie Medical Laser Aesthetics Minneapolis St. Paul Twin Cities,MN,Minneapolis,https://spavie.com/,,,(612) 213-1111; (612) 268-6997; (651) 413-9162,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
The Clinic for Medical Aesthetics,MN,Minneapolis,https://theclinicmn.com/,,,(763) 205-4718,,"glp-1, semaglutide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
